Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Type1,Type2,Progress,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Number of Related Bills,Amends Bill,Date Offered,Date Submitted,Date Proposed
S. 2669,https://www.congress.gov/bill/118th-congress/senate-bill/2669,118th Congress (2023-2024),Digital Asset Anti-Money Laundering Act of 2023,"Warren, Elizabeth [Sen.-D-MA] (Introduced 07/27/2023)",Democratic,potential regulation,directly related to cyptocurrencies,introduced,07/27/2023,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",02/01/2024,18,0,,,,
H.R. 4763,https://www.congress.gov/bill/118th-congress/house-bill/4763,118th Congress (2023-2024),Financial Innovation and Technology for the 21st Century Act,"Thompson, Glenn [Rep.-R-PA-15] (Introduced 07/20/2023)",Republican,support,directly related to cyptocurrencies,Passed House,07/20/2023,"House - Agriculture, Financial Services | Senate - Banking, Housing, and Urban Affairs","Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",09/09/2024,11,2,,,,
H.R. 389,https://www.congress.gov/bill/118th-congress/house-bill/389,118th Congress (2023-2024),PORTFOLIO Act,"Schweikert, David [Rep.-R-AZ-1] (Introduced 01/17/2023)",Republican,potential regulation,directly related to anti moneywashing,introduced,01/17/2023,"House - Oversight and Accountability, Judiciary, House Administration, Ways and Means","Referred to the Committee on Oversight and Accountability, and in addition to the Committees on the Judiciary, House Administration, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",01/17/2023,0,0,,,,
H.R. 6572,https://www.congress.gov/bill/118th-congress/house-bill/6572,118th Congress (2023-2024),Deploying American Blockchains Act of 2023,"Bucshon, Larry [Rep.-R-IN-8] (Introduced 12/04/2023)",Republican,potential support,directly related to Blockchain,Passed House,12/04/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/16/2024,3,0,,,,
S. 2355,https://www.congress.gov/bill/118th-congress/senate-bill/2355,118th Congress (2023-2024),Crypto-Asset National Security Enhancement and Enforcement Act of 2023,"Reed, Jack [Sen.-D-RI] (Introduced 07/18/2023)",Democratic,regulation,directly related to cyptocurrencies,introduced,07/18/2023,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",10/26/2023,3,0,,,,
S. 4912,https://www.congress.gov/bill/118th-congress/senate-bill/4912,118th Congress (2023-2024),BITCOIN Act of 2024,"Lummis, Cynthia M. [Sen.-R-WY] (Introduced 07/31/2024)",Republican,support,directly related to cyptocurrencies,introduced,07/31/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",07/31/2024,0,0,,,,
H.R. 8266,https://www.congress.gov/bill/118th-congress/house-bill/8266,118th Congress (2023-2024),Blockchain Integrity Act,"Casten, Sean [Rep.-D-IL-6] (Introduced 05/07/2024)",Democratic,regulation,directly related to Blockchain,introduced,05/07/2024,House - Financial Services,Referred to the House Committee on Financial Services.,05/07/2024,4,0,,,,
H.R. 8822,https://www.congress.gov/bill/118th-congress/house-bill/8822,118th Congress (2023-2024),To amend the Internal Revenue Code of 1986 to allow the payment of certain Federal taxes with bitcoin.,"Gaetz, Matt [Rep.-R-FL-1] (Introduced 06/25/2024)",Republican,support,directly related to cyptocurrencies,introduced,06/25/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,06/25/2024,2,0,,,,
H.R. 4814,https://www.congress.gov/bill/118th-congress/house-bill/4814,118th Congress (2023-2024),Consumer Safety Technology Act,"Soto, Darren [Rep.-D-FL-9] (Introduced 07/20/2023)",Democratic,potential regulation,directly related to Blockchain,Passed House,07/20/2023,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/15/2024,4,0,,,,
H.R. 5050,https://www.congress.gov/bill/118th-congress/house-bill/5050,118th Congress (2023-2024),Cryptocurrency Accountability Act,"Slotkin, Elissa [Rep.-D-MI-7] (Introduced 07/27/2023)",Democratic,regulation,directly related to cyptocurrencies,introduced,07/27/2023,House - House Administration,Referred to the House Committee on House Administration.,07/27/2023,1,0,,,,
S. 661,https://www.congress.gov/bill/118th-congress/senate-bill/661,118th Congress (2023-2024),Crypto-Asset Environmental Transparency Act of 2023,"Markey, Edward J. [Sen.-D-MA] (Introduced 03/06/2023)",Democratic,regulation,directly related to cyptocurrencies,introduced,03/06/2023,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,03/06/2023,3,1,,,,
H.R. 1460,https://www.congress.gov/bill/118th-congress/house-bill/1460,118th Congress (2023-2024),Crypto-Asset Environmental Transparency Act of 2023,"Huffman, Jared [Rep.-D-CA-2] (Introduced 03/08/2023)",Democratic,regulation,directly related to cyptocurrencies,introduced,03/08/2023,House - Energy and Commerce,"Referred to the Subcommittee on Environment, Manufacturing, and Critical Materials.",03/17/2023,1,1,,,,
H.Res. 238,https://www.congress.gov/bill/118th-congress/house-resolution/238,118th Congress (2023-2024),"Expressing the sense of the House of Representatives regarding the importance of Proof-of-Work mining, used for certain cryptocurrencies such as Bitcoin, to the United States ability to achieve its energy goals and grow its economy.","Sessions, Pete [Rep.-R-TX-17] (Introduced 03/21/2023)",Republican,support,directly related to cyptocurrencies,introduced,03/21/2023,"House - Energy and Commerce, Foreign Affairs, Financial Services, Science, Space, and Technology","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Foreign Affairs, Financial Services, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",03/21/2023,0,0,,,,
S.Con.Res. 1,https://www.congress.gov/bill/118th-congress/senate-concurrent-resolution/1,118th Congress (2023-2024),ACCEPT Resolution,"Cruz, Ted [Sen.-R-TX] (Introduced 01/25/2023)",Republican,regulation,directly related to cyptocurrencies,introduced,01/25/2023,Senate - Rules and Administration,Referred to the Committee on Rules and Administration. (text: CR S104),01/25/2023,0,0,,,,
